ssc_cgpa,hsc_cgpa,btech_cgpa,work_exp,dsa_score,aptitude_score,coding_rating,sentiment_score,skill_stack_impact,selected
7.5,9.8,8.93,0,5,7,2,-0.41,8,1
8.6,6.23,8.89,0,6,2,4,-0.04,6,1
6.03,6.09,8.1,0,10,3,4,0.39,3,1
7.8,6.05,9.77,0,2,10,1,-0.15,7,1
8.44,9.33,6.69,0,1,4,2,-0.03,6,0
6.13,9.37,7.8,0,10,4,4,-0.01,2,1
8.16,8.35,9.86,1,9,1,1,0.66,8,1
9.09,6.3,7.43,0,9,7,1,-0.0,7,1
7.24,7.3,8.92,0,8,6,3,0.07,3,1
9.08,7.98,8.09,0,10,10,4,-0.45,7,1
7.9,8.25,8.78,0,5,7,5,-0.2,7,1
9.72,9.23,8.53,0,6,4,3,-0.32,9,1
7.27,6.44,6.91,1,9,4,5,-0.49,8,1
8.77,7.08,6.98,0,6,8,1,-0.4,10,1
9.85,7.01,7.99,1,1,5,1,-0.1,2,0
7.11,9.63,6.96,0,2,5,4,0.33,7,1
8.69,9.05,6.95,0,6,8,5,0.45,1,1
8.78,9.43,7.3,0,4,3,2,-0.16,7,1
6.7,8.76,7.55,0,2,8,1,0.6,2,0
9.27,8.22,8.12,0,2,1,4,0.82,7,1
7.36,7.4,8.9,0,3,4,1,-0.37,8,1
8.32,7.49,9.76,0,9,2,2,0.17,9,1
6.7,6.07,7.98,0,4,8,3,0.35,3,0
8.36,9.92,7.95,0,8,2,5,0.37,1,1
6.78,8.89,7.12,1,3,1,1,0.2,5,1
9.81,7.32,8.21,0,3,1,4,0.08,7,1
7.07,7.94,7.49,1,10,6,2,-0.39,2,1
9.51,8.96,8.79,0,6,7,5,0.13,2,1
9.47,9.65,8.05,0,9,4,5,-0.39,3,1
6.38,8.31,6.14,1,9,10,5,0.79,1,1
6.15,9.29,7.44,0,5,1,5,0.95,7,1
8.55,8.9,9.9,0,10,3,1,0.15,10,1
6.31,6.1,9.85,0,7,9,4,-0.24,1,1
6.38,6.73,9.74,0,1,7,5,0.13,10,1
7.42,9.03,6.06,0,5,1,4,-0.47,10,1
6.69,7.74,7.59,1,10,6,5,-0.11,10,1
8.5,8.01,9.43,0,5,4,2,0.38,4,1
8.57,7.83,8.18,1,5,3,1,0.86,2,1
6.16,8.47,7.35,1,10,8,5,-0.47,2,1
8.77,7.39,9.75,1,8,4,1,-0.08,10,1
7.69,8.27,8.3,0,3,4,2,0.37,7,1
9.02,6.41,9.61,1,4,9,5,0.08,9,1
9.39,7.42,9.83,0,4,3,2,0.17,3,1
6.85,9.78,9.13,1,7,5,2,0.99,10,1
7.77,9.55,7.4,1,2,9,2,0.8,6,1
6.29,9.29,8.82,0,5,5,3,0.79,6,1
9.25,9.79,9.94,0,4,4,4,0.67,6,1
7.32,7.74,7.01,0,2,10,4,-0.32,9,1
8.98,8.72,6.95,1,9,1,1,-0.16,6,1
6.17,9.7,9.68,1,4,3,3,0.28,9,1
6.87,7.18,9.98,1,6,6,3,-0.43,10,1
7.11,6.75,7.85,0,10,2,4,0.96,6,1
6.13,7.12,7.64,0,3,6,2,0.37,9,1
9.46,6.18,6.11,0,1,6,1,0.98,5,0
9.0,7.57,9.32,0,1,1,2,-0.3,5,0
9.08,9.78,9.4,0,1,5,1,0.93,4,1
6.91,8.69,8.47,0,8,7,2,0.21,3,1
8.21,8.24,9.51,0,9,1,5,0.56,3,1
9.61,8.47,9.92,0,2,2,2,0.16,2,1
9.13,7.59,8.49,1,3,1,5,0.19,1,1
7.97,7.03,7.84,0,2,6,5,-0.19,3,0
8.34,7.6,8.79,0,4,8,4,0.85,3,1
8.06,9.89,8.41,0,3,3,5,-0.08,6,1
7.46,8.01,8.76,0,9,10,1,0.53,8,1
9.49,9.68,6.24,0,10,4,1,0.4,4,1
7.94,8.47,7.48,0,8,2,5,-0.28,3,1
8.85,9.58,8.05,0,2,10,3,-0.34,7,1
7.29,6.85,7.31,0,9,1,5,0.52,3,1
8.6,7.92,8.34,0,6,2,1,0.07,5,1
8.28,7.42,9.95,0,5,9,1,-0.16,6,1
6.98,6.64,6.75,0,8,7,1,0.29,8,1
9.67,6.02,9.9,1,8,6,3,0.58,8,1
7.91,9.35,6.82,0,10,6,4,0.26,1,1
